Oversea,#genre#

ABC News,https://abc-iview-mediapackagestreams-2.akamaized.net/out/v1/6e1cc6d25ec0480ea099a5399d73bc4b/index.m3u8
Aljazeera News SD,https://live-hls-web-aje.getaj.net/AJE/04.m3u8
Aljazeera News HD,https://live-hls-web-aje.getaj.net/AJE/02.m3u8#https://live-hls-aje-ak.getaj.net/AJE/01.m3u8
BBC News (480p),http://www.filmon.com/vr-streams/27.high/playlist.m3u8
BBC World News,http://103.199.161.254/Content/bbcworld/Live/Channel(BBCworld)/index.m3u8
Bloomberg US,http://liveproduseast.akamaized.net/us/Channel-USTV-AWS-virginia-1/Source-USTV-1000-1_live.m3u8
Bloomberg EU,https://liveprodeuwest.akamaized.net/eu1/Channel-EUTVqvs-AWS-ireland-1/Source-EUTVqvs-1000-1_live.m3u8

CBS News,http://cbsnewshd-lh.akamaihd.net/i/CBSNHD_7@199302/master.m3u8
Channel News Asia (1080p),http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
CNN(OP1),http://eurotv.vip:80/pretttiiivddcff/Frffgfrffc300/21991
CNN(OP2),http://82.114.87.150:8881/play/a01s/index.m3u8
CNN(OP3),http://188.155.8.185:3280/play/a04m/index.m3u8
CNN(OP4),http://stream.tvtap.live:8081/live/us-cnn.stream/playlist.m3u8
CGTN,http://live.cgtn.com/1000/prog_index.m3u8
CGTN,https://news.cgtn.com/resource/live/english/cgtn-news.m3u8
DW,https://livecdn.fptplay.net/world/dwenglish_hls.smil/chunklist_b2500000.m3u8
FOX News Radio (192p),https://fnurtmp-f.akamaihd.net/i/FNRADIO_1@92141/master.m3u8
Global News,https://live.corusdigitaldev.com/groupd/live/49a91e7f-1023-430f-8d66-561055f3d0f7/live.isml/master.m3u8

NBC News,http://nbcnews2.akamaized.net/hls/live/723426-b/NBCNewsPlaymaker24x7Linear99a3a827-ua/VIDEO_0_6596000.m3u8
Newsmax,https://nmxlive.akamaized.net/hls/live/529965/Live_1/index_720.m3u8
NewsNet (480p),http://broadcastny.yournewsnet.com:8081/master/newsnetweb/playlist.m3u8
NHK·华语视界,https://nhkw-zh-hlscomp.akamaized.net/8thz5iufork8wjip/playlist.m3u8
NHK·国际频道,https://nhkwlive-xjp.akamaized.net/hls/live/2003458/nhkwlive-xjp-en/index_1M.m3u8
Sky News,https://skynews2-plutolive-vo.akamaized.net/cdhlsskynewsamericas/1013/latest.m3u8
    
TV 5,https://livecdn.fptplay.net/world/tv5_hls.smil/chunklist_b2500000.m3u8
WBRZ 2,http://cms-wowza.lunabyte.io/wbrz-live-1/_definst_/smil:wbrz-live.smil/chunklist_b1300000.m3u8

NASA TV Media,https://ntv2.akamaized.net/hls/live/2013923/NASA-NTV2-HLS/master.m3u8
NASA TV Public,https://ntv1.akamaized.net/hls/live/2014075/NASA-NTV1-HLS/master_2000.m3u8

Outdoor Channel,https://livecdn.fptplay.net/world/outdoorfhd_hls.smil/chunklist_b2500000.m3u8
National Geographic,https://livecdn.fptplay.net/foxlive/natgeohd_hls.smil/chunklist_b2500000.m3u8

FOXHD,https://livecdn.fptplay.net/foxlive/foxhd_hls.smil/chunklist_b2500000.m3u8

News,#genre#

凤凰中文,http://playtv-live.ifeng.com:80/live/06OLEGEGM4G.m3u8 

凤凰资讯,http://playtv-live.ifeng.com:80/live/06OLEEWQKN4.m3u8 

凤凰资讯,http://125.210.152.18:9090/live/FHZX_1200.m3u8 

凤凰中文,http://125.210.152.18:9090/live/FHZW_1200.m3u8 

凤凰中文,http://117.148.179.50/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228608/index.m3u8 

凤凰资讯,http://117.148.179.50/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228597/index.m3u8 


凤凰资讯台,p8p://45.92.126.18:9906/604354a700001c2706f579cae17a48f1.ts
凤凰中文台,p8p://45.92.126.18:9906/604355380000ff4606f7b06cbafec3a5.ts
中天新闻,p8p://0198.02686.cc:16871/5f2f9178000c4ec022496d33f280ef95.ts
寰宇新闻台,p8p://45.92.126.18:9906/60434bdc0009a41d06d32342bef082c3.ts
BBC Earth,p8p://45.92.126.18:9906/6044049e000eb7a609a4da5fcd30cc43.ts
TV5 Monde,p8p://45.92.126.18:9906/6046414f0008aa040882014b96694a71.ts
CNN Internationa,p8p://45.92.126.18:9906/604641f8000e2252088496d9f8a5ad44.ts
BBC WORLD NEWS,p8p://45.92.126.18:9906/60464299000eba8708870be862b68160.ts
ChannelNewsAsia,p8p://45.92.126.18:9906/604643330003bf3e088962a9042b90c4.ts
CNBC Asia,p8p://45.92.126.18:9906/604643c100068849088b8e0fef813f1c.ts

中国广播,#genre#

CRI Hit FM FM88.7,http://sk.cri.cn/887.m3u8
CRI 南海之声,http://sk.cri.cn/nhzs.m3u8CRI 
轻松调频 FM91.5,http://sk.cri.cn/915.m3u8
CRI 环球资讯广播 FM90.5,http://sk.cri.cn/905.m3u8
英语资讯广播 China Plus Radio,http://cnlive.cnr.cn/hls/yyzxgb.m3u8
CRI 中文环球广播,http://sk.cri.cn/hyhq.m3u8CRI 中文环球广播,http://sk.cri.cn/hyhq.m3u8
CRI NEWS Plus AM846,http://sk.cri.cn/am846.m3u8
CRI NEWS Plus AM1008,http://sk.cri.cn/am1008.m3u8


iHOT,#genre#

iHot爱奇谈,http://117.148.179.50/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230023/index.m3u8

求索,#genre#

求索动物HD,http://39.134.66.66/PLTV/88888888/224/3221225730/index.m3u8 

求索生活HD,http://39.134.66.66/PLTV/88888888/224/3221225715/index.m3u8 

求索科学HD,http://39.134.66.66/PLTV/88888888/224/3221225728/index.m3u8 

求索纪录HD,http://39.134.66.66/PLTV/88888888/224/3221225713/index.m3u8



轮播,#genre#

全新影片,http://dyscdnali1.douyucdn.cn/live/3637778raLSXdOdu.flv?uuid=
周星驰,http://dyscdnali1.douyucdn.cn/live/122402rK7MO9bXSq.flv?uuid=
华语经典,http://dyscdnali1.douyucdn.cn/live/85894rmovieChow.flv?uuid=

Running Man,http://dyscdnali1.douyucdn.cn/live/7298973rVquPyzCT.flv?uuid=
韩国女团,http://dyscdnali1.douyucdn.cn/live/231464ruiASM3G05.flv?uuid=

斗鱼,#genre#

1,http://dyscdnali1.douyucdn.cn/live/52787r8ZChaEsamQ.flv?uuid=
6,http://dyscdnali1.douyucdn.cn/live/3637765rrt97QwBF.flv?uuid=
7,http://dyscdnali1.douyucdn.cn/live/747764rfA3HOpaVl.flv?uuid=
8,http://dyscdnali1.douyucdn.cn/live/3637726rQLDdfto7.flv?uuid=
9,http://dyscdnali1.douyucdn.cn/live/3928r9p0BHMDG.flv?uuid=
10,http://dyscdnali1.douyucdn.cn/live/20415rnWbjg6Ex1K.flv?uuid=
14,http://dyscdnali1.douyucdn.cn/live/6763930rQ0VfA1mV.flv?uuid=
15,http://dyscdnali1.douyucdn.cn/live/323876reFBNcAGH9.flv?uuid=
16,http://dyscdnali1.douyucdn.cn/live/2935323rnTpNsu74.flv?uuid=
25,http://dyscdnali1.douyucdn.cn/live/4282654rqJ3gI94v.flv?uuid=
30,http://dyscdnali1.douyucdn.cn/live/6546908r8MNy5hGg.flv?uuid=
42,http://dyscdnali1.douyucdn.cn/live/206858rtesHKjl.flv?uuid=
51,http://dyscdnali1.douyucdn.cn/live/7537296rTdKDixQ0.flv?uuid=
57,http://dyscdnali1.douyucdn.cn/live/7459925rLzyH2qb0.flv?uuid=



